A,B,C,D,E,F,G,H,I,J,K
82,90,100,0,100,0,93,15884,1,0,0
81,96,100,0,100,0,97,6557,1,0,0
81,94,100,0,100,0,87,27544,81,0,0
81,95,100,0,100,0,92,17551,81,0,0
83,89,100,0,100,0,97,7254,83,0,0
75,95,100,0,100,0,98,5891,75,0,0
84,98,100,0,100,0,97,7699,84,0,0
83,94,100,0,100,0,93,15277,83,0,0
77,94,100,0,100,0,93,15886,77,0,0
81,94,100,0,100,0,98,5766,81,0,0
81,98,100,0,100,0,93,15470,81,0,0
82,94,100,0,100,0,97,7741,82,0,0
83,91,100,0,100,0,96,9277,83,0,0
76,89,100,0,100,0,24,152102,76,0,0
79,92,100,0,100,0,98,4493,79,0,0
77,98,100,0,100,0,95,11497,77,0,0
82,96,100,0,100,0,94,13138,1,0,0
77,96,100,0,100,0,90,21659,1,0,0
83,96,100,0,100,0,93,15330,83,0,0
84,88,100,0,100,0,94,12062,1,0,0
83,92,100,0,100,0,92,16107,1,0,0
82,92,100,0,100,0,97,6837,1,0,0
83,84,100,0,100,0,95,10248,1,0,0
82,96,100,0,100,0,93,14133,82,0,0
76,94,100,0,100,0,95,11808,1,0,0
82,94,100,0,100,0,97,7675,82,0,0
82,96,100,0,100,0,97,6206,82,0,0
81,95,100,0,100,0,98,4381,81,0,0
83,92,100,0,100,0,91,18973,83,0,0
83,88,100,0,100,0,98,5720,1,0,0
100,94,100,0,100,0,94,12021,100,0,0
80,92,100,0,100,0,88,25669,80,0,0
77,96,100,0,100,0,98,5163,77,0,0
82,95,100,8,100,0,96,9140,82,0,0
71,91,100,0,100,0,96,9944,71,0,0
75,92,100,0,100,0,99,3134,1,0,0
82,94,100,1,100,0,96,8038,82,0,0
79,96,100,0,100,0,98,4828,79,0,0
82,98,100,0,100,0,97,6253,82,0,0
83,96,100,0,100,0,1,427968,83,0,0
83,96,100,0,100,0,97,7884,83,0,0
84,98,100,0,100,0,1,254714,84,0,0
84,92,100,0,100,0,92,17338,84,0,0
83,98,100,0,100,0,91,18781,83,0,0
79,96,100,0,100,0,1,212175,79,0,0
83,99,100,0,100,0,83,35277,83,0,0
83,89,100,0,100,0,95,10237,83,0,0
82,95,100,8,100,0,71,59215,82,0,0
83,99,100,0,100,0,98,5813,83,0,0
82,92,100,0,100,0,94,13025,82,0,0
77,92,100,0,100,0,89,22982,77,0,0
78,98,100,0,100,0,96,9828,78,0,0
82,89,100,0,100,0,95,10898,82,0,0
78,98,100,0,100,0,97,6629,78,0,0
82,96,100,0,100,0,90,21105,82,0,0
83,98,100,0,100,0,98,4725,83,0,0
82,89,100,0,100,0,97,6037,82,0,0
83,92,100,0,100,0,93,14878,83,0,0
81,91,100,0,100,0,96,8815,81,0,0
82,95,100,0,100,0,96,9202,82,0,0
82,95,100,0,100,0,97,7171,82,0,0
82,89,100,0,100,0,96,8937,82,0,0
83,94,100,0,100,0,97,7790,83,0,0
82,92,100,0,100,0,94,12302,82,0,0
100,94,100,0,100,0,97,7425,100,0,0
77,94,100,0,100,0,93,14971,77,0,0
79,92,100,0,100,0,92,16025,1,0,0
79,91,100,0,100,0,97,6240,79,0,0
75,94,100,0,100,0,92,16357,75,0,0
83,94,100,0,100,0,93,14390,83,0,0
81,92,100,0,100,0,94,12559,81,0,0
78,94,100,0,100,0,96,9321,78,0,0
83,94,100,0,100,0,96,8410,83,0,0
67,91,100,0,100,0,89,22183,67,0,0
